stop_lat,stop_code,stop_lon,stop_id,stop_name,zone_id
49.263872,50314,-123.185744,317,Northbound Alma St @ W 10 Ave,BUS ZN
49.261926,50313,-123.185815,316,Northbound Alma St @ W 12 Ave,BUS ZN
49.260126,50312,-123.184213,315,Northbound Dunbar Diversion @ W 14 Ave,BUS ZN
49.256969,61097,-123.121578,11209,Eastbound W 16 Ave @ Willow St,BUS ZN
49.285176,50438,-123.05639,442,Northbound N Nanaimo St @ Dundas St,BUS ZN
49.284738,50437,-123.059274,441,Eastbound Dundas St @ Templeton Dr,BUS ZN
49.284754,50436,-123.061245,440,Eastbound Dundas St @ Lakewood Dr,BUS ZN
49.288617,50443,-123.048823,447,Eastbound McGill St @ N Slocan St,BUS ZN
49.288627,50442,-123.051421,446,Eastbound McGill St @ N Penticton St,BUS ZN
49.24353,60433,-123.061464,12679,Westbound Kingsway @ Gladstone,BUS ZN
49.288013,50440,-123.056367,444,Northbound N Nanaimo St @ Eton St,BUS ZN
49.267853,50401,-123.140145,405,Eastbound W 4th Ave @ Fir St,BUS ZN
49.234826,60395,-123.174148,12671,Westbound W 41 Ave @ Carnarvon St,BUS ZN
49.234437,60431,-123.141226,12670,Westbound W 41 Ave @ Churchill St,BUS ZN
49.233818,58268,-123.127728,12672,Eastbound W 41 Ave @ Oak St,BUS ZN
49.283285,50038,-123.102896,38,Westbound Powell St @ Columbia St,BUS ZN
49.284786,50035,-123.111191,35,Waterfront Station @ Bay 4,BUS ZN
49.209597,50864,-123.140672,871,Southbound Granville St @ W 68 Ave,BUS ZN
49.225263,52019,-123.067538,2036,Westbound E 49 Ave @ Beatrice St,BUS ZN
49.281222,52718,-123.043342,2743,Westbound E Hastings St @ Renfrew St,BUS ZN
49.281204,52717,-123.025393,2742,Kootenay Loop @ Bay 7,BUS ZN
49.243026,52719,-123.017349,2744,Westbound Moscrop St @ Inman Ave,BUS ZN
49.225388,52022,-123.077939,2039,Westbound E 49 Ave @ Knight St,BUS ZN
49.225316,52021,-123.073579,2038,Westbound E 49 Ave @ Fleming St,BUS ZN
49.266066,51085,-123.044136,1094,Northbound Renfrew St @ E 5th Ave,BUS ZN
49.26794,51086,-123.044107,1095,Northbound Renfrew St @ E 3rd Ave,BUS ZN
49.269832,51087,-123.044037,1096,Northbound Renfrew St @ E 1st Ave,BUS ZN
49.271682,51088,-123.044039,1097,Northbound Renfrew St @ Grant St,BUS ZN
49.257532,51081,-123.044132,1090,Northbound Renfrew St @ Grandview Hwy,BUS ZN
49.259529,51082,-123.0441,1091,Renfrew Station @ Bay 3,BUS ZN
49.262253,51083,-123.044105,1092,Northbound Renfrew St @ E Broadway,BUS ZN
49.264174,51084,-123.04414,1093,Northbound Renfrew St @ E 7th Ave,BUS ZN
49.273636,51089,-123.044011,1098,Northbound Renfrew St @ Charles St,BUS ZN
49.276287,51090,-123.043972,1099,Northbound Renfrew St @ Venables St,BUS ZN
49.221522,51311,-123.077568,1322,Southbound Knight St @ E 53 Ave,BUS ZN
49.224925,51309,-123.077479,1320,Southbound Knight St @ E 49 Ave,BUS ZN
