TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,RECENCY
Other Theft,2022,4,12,1,30,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,65
Other Theft,2022,4,15,2,30,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,62
Other Theft,2022,4,16,8,0,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,61
Other Theft,2022,4,22,12,0,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,55
Other Theft,2022,4,30,23,0,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,47
Other Theft,2022,5,1,11,30,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,46
Other Theft,2022,5,4,7,0,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,43
Other Theft,2022,5,8,23,31,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,39
Other Theft,2022,5,14,10,10,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,33
Other Theft,2022,5,20,1,0,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,27
Other Theft,2022,5,24,17,15,X NK_LOC ST,Strathcona,492765.9374,5458793.3032,23
